# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:57:46 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00031003 -1.70000 10.07918 0.8007595539 2.4189897792    0.798  0.963  3.7368  3.277    0 2.363 2.345 2.683 1.828
0.00031003 -1.70000 10.07918 0.8011693358 2.4191326923    0.799  1.009  3.7352  3.224    0 2.248 2.231 2.572 1.711
0.00031003 -1.70000 10.07918 0.8015856743 2.4192777199    0.799  1.059  3.7336  3.168    0 2.123 2.107 2.451 1.584
0.00031003 -1.70000 10.07918 0.8019683361 2.4194108639    0.799  1.109  3.7320  3.112    0 1.999 1.984 2.331 1.457
0.00031003 -1.70000 10.07918 0.8023118973 2.4195302788    0.800  1.157  3.7305  3.058    0 1.878 1.864 2.214 1.334
0.00031003 -1.70000 10.07918 0.8026123643 2.4196346186    0.800  1.203  3.7291  3.007    0 1.763 1.750 2.103 1.218
0.00031003 -1.70000 10.07918 0.8029050827 2.4197361813    0.800  1.252  3.7277  2.952    0 1.641 1.629 1.985 1.093
0.00031003 -1.70000 10.07918 0.8031858802 2.4198335279    0.800  1.303  3.7261  2.895    0 1.513 1.502 1.862 0.963
0.00031003 -1.70000 10.07918 0.8034213781 2.4199151097    0.800  1.349  3.7246  2.842    0 1.396 1.386 1.749 0.844
0.00031003 -1.70000 10.07918 0.8036361933 2.4199894786    0.800  1.396  3.7231  2.790    0 1.280 1.271 1.638 0.726
0.00031003 -1.70000 10.07918 0.8038381934 2.4200593692    0.800  1.444  3.7215  2.736    0 1.161 1.153 1.524 0.605
0.00031003 -1.70000 10.07918 0.8040168285 2.4201211421    0.800  1.490  3.7199  2.683    0 1.046 1.040 1.414 0.488
0.00031003 -1.70000 10.07918 0.8041867018 2.4201798558    0.800  1.538  3.7182  2.629    0 0.926 0.922 1.299 0.366
0.00031003 -1.70000 10.07918 0.8043364286 2.4202315826    0.800  1.584  3.7166  2.576    0 0.810 0.808 1.190 0.248
0.00031003 -1.70000 10.07918 0.8044697642 2.4202776280    0.800  1.629  3.7150  2.524    0 0.699 0.698 1.084 0.135
0.00031003 -1.70000 10.07918 0.8045967817 2.4203214752    0.800  1.675  3.7132  2.471    0 0.582 0.584 0.974 0.016
0.00031003 -1.70000 10.07918 0.8047117591 2.4203611524    0.800  1.721  3.7115  2.418    0 0.468 0.471 0.865 -0.101
0.00031003 -1.70000 10.07918 0.8048129678 2.4203960673    0.800  1.765  3.7098  2.367    0 0.357 0.362 0.761 -0.213
0.00031003 -1.70000 10.07918 0.8049059510 2.4204281358    0.800  1.809  3.7080  2.316    0 0.248 0.255 0.659 -0.325
0.00031003 -1.70000 10.07918 0.8049959540 2.4204591683    0.799  1.855  3.7062  2.263    0 0.133 0.143 0.551 -0.441
0.00031003 -1.70000 10.07918 0.8050747514 2.4204863307    0.799  1.898  3.7044  2.212    0 0.024 0.037 0.450 -0.552
0.00031003 -1.70000 10.07918 0.8051472306 2.4205113097    0.799  1.942  3.7026  2.161    0 -0.084 -0.068 0.350 -0.662
0.00031003 -1.70000 10.07918 0.8052158356 2.4205349487    0.799  1.986  3.7007  2.110    0 -0.194 -0.176 0.248 -0.774
0.00031003 -1.70000 10.07918 0.8052762151 2.4205557497    0.799  2.027  3.6989  2.061    0 -0.297 -0.276 0.153 -0.878
0.00031003 -1.70000 10.07918 0.8053343892 2.4205757875    0.798  2.068  3.6971  2.012    0 -0.400 -0.375 0.058 -0.983
0.00031003 -1.70000 10.07918 0.8053947687 2.4205965814    0.798  2.108  3.6953  1.965    0 -0.500 -0.472 -0.034 -1.084
0.00031003 -1.70000 10.07918 0.8054487705 2.4206151759    0.797  2.131  3.6944  1.938    0 -0.557 -0.528 -0.086 -1.142
0.00031003 -1.70000 10.07918 0.8054894209 2.4206291712    0.797  2.117  3.6953  1.955    0 -0.524 -0.496 -0.057 -1.108
0.00031003 -1.70000 10.07918 0.8054978251 2.4206320644    0.797  2.125  3.6949  1.946    0 -0.543 -0.515 -0.075 -1.128
0.00031003 -1.70000 10.07918 0.8055412173 2.4206470015    0.797  2.168  3.6929  1.895    0 -0.650 -0.618 -0.172 -1.236
0.00031003 -1.70000 10.07918 0.8055813313 2.4206608085    0.796  2.210  3.6909  1.845    0 -0.755 -0.719 -0.266 -1.342
0.00031003 -1.70000 10.07918 0.8056198359 2.4206740600    0.796  2.253  3.6888  1.793    0 -0.863 -0.822 -0.362 -1.451
0.00031003 -1.70000 10.07918 0.8056523800 2.4206852591    0.795  2.292  3.6869  1.746    0 -0.960 -0.915 -0.449 -1.550
0.00031003 -1.70000 10.07918 0.8056836724 2.4206960265    0.795  2.332  3.6849  1.698    0 -1.061 -1.011 -0.539 -1.651
0.00031003 -1.70000 10.07918 0.8057115078 2.4207056036    0.794  2.370  3.6829  1.651    0 -1.156 -1.101 -0.623 -1.748
0.00031003 -1.70000 10.07918 0.8057376146 2.4207145852    0.794  2.409  3.6809  1.605    0 -1.252 -1.192 -0.707 -1.844
0.00031003 -1.70000 10.07918 0.8057619929 2.4207229715    0.793  2.447  3.6789  1.558    0 -1.347 -1.282 -0.789 -1.939
0.00031003 -1.70000 10.07918 0.8057889938 2.4207322594    0.792  2.492  3.6764  1.502    0 -1.461 -1.388 -0.887 -2.053
0.00031003 -1.70000 10.07918 0.8058094382 2.4207392914    0.792  2.529  3.6744  1.457    0 -1.553 -1.475 -0.966 -2.146
0.00031003 -1.70000 10.07918 0.8058319688 2.4207470406    0.791  2.573  3.6720  1.403    0 -1.662 -1.576 -1.057 -2.255
0.00031003 -1.70000 10.07918 0.8058528304 2.4207542152    0.790  2.616  3.6695  1.349    0 -1.771 -1.678 -1.148 -2.364
0.00031003 -1.70000 10.07918 0.8058727980 2.4207610820    0.789  2.661  3.6669  1.294    0 -1.883 -1.781 -1.241 -2.476
0.00031003 -1.70000 10.07918 0.8058893085 2.4207667597    0.787  2.701  3.6646  1.244    0 -1.982 -1.872 -1.321 -2.575
0.00031003 -1.70000 10.07918 0.8059058785 2.4207724575    0.786  2.744  3.6620  1.190    0 -2.089 -1.970 -1.407 -2.681
0.00031003 -1.70000 10.07918 0.8059204221 2.4207774583    0.785  2.784  3.6595  1.139    0 -2.190 -2.061 -1.487 -2.781
0.00031003 -1.70000 10.07918 0.8059338927 2.4207820900    0.783  2.824  3.6571  1.088    0 -2.290 -2.151 -1.566 -2.880
0.00031003 -1.70000 10.07918 0.8059464693 2.4207864141    0.782  2.864  3.6545  1.038    0 -2.389 -2.241 -1.643 -2.979
0.00031003 -1.70000 10.07918 0.8059575558 2.4207902257    0.780  2.901  3.6522  0.990    0 -2.483 -2.323 -1.713 -3.070
0.00031003 -1.70000 10.07918 0.8059684038 2.4207939552    0.778  2.940  3.6497  0.940    0 -2.580 -2.408 -1.784 -3.163
0.00031003 -1.70000 10.07918 0.8059780002 2.4207972544    0.776  2.976  3.6473  0.893    0 -2.671 -2.486 -1.848 -3.251
0.00031003 -1.70000 10.07918 0.8059868813 2.4208003075    0.774  3.012  3.6449  0.847    0 -2.760 -2.563 -1.911 -3.337
0.00031003 -1.70000 10.07918 0.8059957027 2.4208033401    0.772  3.050  3.6424  0.798    0 -2.854 -2.642 -1.976 -3.427
0.00031003 -1.70000 10.07918 0.8060030937 2.4208058808    0.770  3.083  3.6402  0.754    0 -2.937 -2.713 -2.033 -3.507
0.00031003 -1.70000 10.07918 0.8060107231 2.4208085035    0.767  3.119  3.6378  0.707    0 -3.027 -2.788 -2.092 -3.592
0.00031003 -1.70000 10.07918 0.8060176373 2.4208108802    0.765  3.153  3.6354  0.662    0 -3.113 -2.859 -2.148 -3.673
0.00031003 -1.70000 10.07918 0.8060240746 2.4208130930    0.762  3.187  3.6331  0.617    0 -3.198 -2.928 -2.202 -3.752
0.00031003 -1.70000 10.07918 0.8060302138 2.4208152033    0.759  3.221  3.6308  0.572    0 -3.282 -2.998 -2.255 -3.831
0.00031003 -1.70000 10.07918 0.8060359359 2.4208171701    0.755  3.253  3.6286  0.529    0 -3.363 -3.064 -2.306 -3.907
0.00031003 -1.70000 10.07918 0.8060423136 2.4208193623    0.742  1.705  3.8247  2.855    4 0.508 0.427 0.602 0.116
0.00031003 -1.70000 10.07918 0.8060435653 2.4208197925    0.742  1.712  3.8178  2.820    4 0.491 0.411 0.597 0.084
0.00031003 -1.70000 10.07918 0.8061012030 2.4208396021    0.742  1.723  3.8150  2.797    4 0.462 0.382 0.573 0.049
0.00031003 -1.70000 10.07918 0.8061572313 2.4208588555    0.742  1.725  3.8153  2.797    4 0.457 0.378 0.568 0.045
0.00031003 -1.70000 10.07918 0.8062143922 2.4208784949    0.742  1.726  3.8163  2.800    4 0.456 0.376 0.565 0.046
0.00031003 -1.70000 10.07918 0.8062711358 2.4208979877    0.742  1.726  3.8174  2.804    4 0.456 0.376 0.562 0.048
0.00031003 -1.70000 10.07918 0.8063244820 2.4209163106    0.742  1.725  3.8187  2.810    4 0.456 0.376 0.560 0.051
0.00031003 -1.70000 10.07918 0.8063769341 2.4209343237    0.742  1.725  3.8201  2.816    4 0.457 0.376 0.559 0.055
0.00031003 -1.70000 10.07918 0.8064299226 2.4209525182    0.742  1.724  3.8215  2.822    4 0.459 0.377 0.557 0.059
0.00031003 -1.70000 10.07918 0.8064854145 2.4209715694    0.742  1.724  3.8230  2.829    4 0.460 0.378 0.556 0.064
0.00031003 -1.70000 10.07918 0.8065400720 2.4209903311    0.742  1.723  3.8244  2.834    4 0.462 0.379 0.555 0.068
0.00031003 -1.70000 10.07918 0.8065963984 2.4210096627    0.742  1.723  3.8254  2.839    4 0.462 0.380 0.554 0.071
0.00031003 -1.70000 10.07918 0.8066522479 2.4210288276    0.742  1.723  3.8262  2.842    4 0.463 0.380 0.553 0.073
0.00031003 -1.70000 10.07918 0.8067073822 2.4210477440    0.742  1.723  3.8265  2.843    4 0.462 0.380 0.552 0.074
0.00031003 -1.70000 10.07918 0.8067607880 2.4210660645    0.742  1.723  3.8264  2.842    4 0.462 0.379 0.551 0.073
0.00031003 -1.70000 10.07918 0.8067841530 2.4210740788    0.742  1.724  3.8263  2.842    4 0.461 0.378 0.551 0.072
0.00031003 -1.70000 10.07918 0.8067902923 2.4210761846    0.742  1.724  3.8262  2.841    4 0.461 0.378 0.551 0.071
0.00031003 -1.70000 10.07918 0.8068436384 2.4210944803    0.742  1.725  3.8252  2.836    4 0.458 0.376 0.550 0.067
0.00031003 -1.70000 10.07918 0.8068990707 2.4211134886    0.742  1.726  3.8236  2.829    4 0.455 0.373 0.550 0.060
0.00031003 -1.70000 10.07918 0.8069514632 2.4211314517    0.742  1.728  3.8216  2.819    4 0.451 0.369 0.549 0.052
0.00031003 -1.70000 10.07918 0.8070040941 2.4211494939    0.742  1.730  3.8190  2.807    4 0.446 0.365 0.549 0.041
0.00031003 -1.70000 10.07918 0.8070566654 2.4211675130    0.742  1.732  3.8158  2.791    4 0.440 0.360 0.550 0.029
0.00031003 -1.70000 10.07918 0.8071083426 2.4211852229    0.742  1.735  3.8120  2.774    4 0.433 0.354 0.550 0.014
0.00031003 -1.70000 10.07918 0.8071609139 2.4212032366    0.742  1.738  3.8079  2.754    4 0.425 0.347 0.550 -0.003
0.00031003 -1.70000 10.07918 0.8071705699 2.4212065449    0.742  1.739  3.8070  2.750    4 0.423 0.346 0.550 -0.006
0.00031003 -1.70000 10.07918 0.8071980476 2.4212159589    0.742  1.741  3.8046  2.738    4 0.418 0.342 0.550 -0.015
0.00031003 -1.70000 10.07918 0.8072504401 2.4212339068    0.742  1.745  3.7997  2.715    4 0.408 0.334 0.550 -0.035
0.00031003 -1.70000 10.07918 0.8073034286 2.4212520561    0.742  1.749  3.7946  2.690    4 0.397 0.325 0.550 -0.056
0.00031003 -1.70000 10.07918 0.8073554039 2.4212698556    0.742  1.754  3.7894  2.664    4 0.385 0.315 0.549 -0.077
0.00031003 -1.70000 10.07918 0.8074053526 2.4212869587    0.742  1.759  3.7846  2.639    4 0.372 0.305 0.547 -0.099
0.00031003 -1.70000 10.07918 0.8074547648 2.4213038757    0.742  1.765  3.7802  2.616    4 0.359 0.294 0.544 -0.120
0.00031003 -1.70000 10.07918 0.8075042963 2.4213208311    0.742  1.770  3.7759  2.594    4 0.344 0.282 0.540 -0.141
0.00031003 -1.70000 10.07918 0.8075547814 2.4213381105    0.741  1.776  3.7722  2.573    4 0.330 0.270 0.535 -0.162
0.00031003 -1.70000 10.07918 0.8076050282 2.4213553058    0.741  1.782  3.7687  2.553    4 0.314 0.257 0.528 -0.183
0.00031003 -1.70000 10.07918 0.8076547384 2.4213723152    0.741  1.789  3.7654  2.532    4 0.297 0.242 0.519 -0.206
0.00031003 -1.70000 10.07918 0.8076955080 2.4213862635    0.741  1.792  3.7645  2.526    4 0.290 0.235 0.515 -0.214
