time,x,y,z,v_x,v_y,v_z
-884.0234375,0.8743587910101382,-36.416750201235324,-31.678317138820944,-0.0014969742937498913,-0.005331616094141464,0.004549410307265863
-881.953125,0.8712596911771047,-36.427890478269624,-31.668978233086865,-0.00149698155630517,-0.0053308682444257885,0.0045500312777279435
-879.8828125,0.8681605913440711,-36.43903075530393,-31.65963932735279,-0.001496988818860449,-0.005330120394710115,0.004550652248190025
-878.0712890625,0.8654488789901666,-36.44877849770895,-31.651467784835468,-0.001496995173596318,-0.0053294660262088985,0.004551195597344345
-876.0009765625,0.8623497791571331,-36.45991877474326,-31.642128879101392,-0.001497002436151597,-0.005328718176493224,0.004551816567806425
-873.9306640625,0.8592506793240995,-36.47105905177756,-31.632789973367313,-0.0014970096987068757,-0.005327970326777549,0.0045524375382685065
-872.119140625,0.856538966970195,-36.48080679418258,-31.624618430849992,-0.001497016053442745,-0.005327315958276334,0.004552980887422827
-870.048828125,0.8534398671371614,-36.491947071216885,-31.615279525115916,-0.0014970233159980236,-0.005326568108560659,0.004553601857884908
-867.978515625,0.8503407673041278,-36.50308734825119,-31.605940619381837,-0.0014970305785533026,-0.005325820258844984,0.004554222828346988
-865.908203125,0.8472416674710942,-36.5142276252855,-31.596601713647757,-0.0014970378411085813,-0.0053250724091293096,0.0045548437988090695
-864.0966796875,0.8445299551171899,-36.52397536769051,-31.58843017113044,-0.0014970441958444506,-0.005324418040628094,0.004555387147963389
-862.0263671875,0.8414308552841562,-36.53511564472482,-31.57909126539636,-0.0014970514583997293,-0.005323670190912419,0.00455600811842547
-859.9560546875,0.8383317554511226,-36.546255921759126,-31.56975235966228,-0.0014970587209550083,-0.005322922341196744,0.0045566290888875505
-857.8857421875,0.835232655618089,-36.557396198793434,-31.560413453928206,-0.001497065983510287,-0.005322174491481069,0.004557250059349632
-856.07421875,0.8325209432641846,-36.56714394119845,-31.552241911410885,-0.001497072338246156,-0.005321520122979854,0.004557793408503952
-854.00390625,0.829421843431151,-36.57828421823275,-31.54290300567681,-0.001497079600801435,-0.005320772273264179,0.004558414378966033
-851.93359375,0.8263227435981174,-36.58942449526706,-31.53356409994273,-0.001497086863356714,-0.005320024423548504,0.0045590353494281135
-850.1220703125,0.823611031244213,-36.59917223767208,-31.525392557425413,-0.001497093218092583,-0.005319370055047289,0.004559578698582434
-848.0517578125,0.8205119314111794,-36.610312514706386,-31.516053651691333,-0.0014971004806478617,-0.005318622205331614,0.004560199669044515
-845.9814453125,0.8174128315781458,-36.62145279174069,-31.506714745957254,-0.0014971077432031406,-0.00531787435561594,0.004560820639506596
-843.9111328125,0.8143137317451121,-36.632593068774995,-31.497375840223174,-0.0014971150057584194,-0.0053171265059002645,0.0045614416099686765
-842.099609375,0.8116020193912078,-36.64234081118001,-31.489204297705857,-0.0014971213604942886,-0.00531647213739905,0.004561984959122997
-840.029296875,0.8085029195581742,-36.65348108821432,-31.479865391971778,-0.0014971286230495674,-0.0053157242876833745,0.004562605929585078
-837.958984375,0.8054038197251406,-36.66462136524862,-31.470526486237702,-0.0014971358856048463,-0.005314976437967699,0.004563226900047158
-835.888671875,0.802304719892107,-36.67576164228293,-31.461187580503623,-0.001497143148160125,-0.005314228588252025,0.004563847870509239
-834.0771484375,0.7995930075382025,-36.68550938468795,-31.453016037986302,-0.0014971495028959943,-0.005313574219750808,0.00456439121966356
-832.0068359375,0.7964939077051689,-36.696649661722255,-31.443677132252226,-0.001497156765451273,-0.005312826370035135,0.004565012190125641
-829.9365234375,0.7933948078721353,-36.70778993875656,-31.434338226518147,-0.001497164028006552,-0.00531207852031946,0.0045656331605877214
-828.125,0.7906830955182309,-36.71753768116157,-31.42616668400083,-0.001497170382742421,-0.005311424151818244,0.004566176509742042
-826.0546875,0.7875839956851973,-36.72867795819588,-31.41682777826675,-0.0014971776452977,-0.005310676302102569,0.004566797480204122
-823.984375,0.7844848958521637,-36.73981823523019,-31.40748887253267,-0.0014971849078529787,-0.005309928452386894,0.004567418450666203
-821.9140625,0.7813857960191302,-36.750958512264496,-31.398149966798595,-0.0014971921704082577,-0.005309180602671219,0.004568039421128284
-820.1025390625,0.7786740836652258,-36.760706254669515,-31.389978424281274,-0.0014971985251441267,-0.005308526234170004,0.004568582770282605
-818.0322265625,0.775574983832192,-36.771846531703815,-31.380639518547195,-0.0014972057876994054,-0.005307778384454329,0.004569203740744685
-815.9619140625,0.7724758839991585,-36.78298680873812,-31.37130061281312,-0.0014972130502546844,-0.005307030534738654,0.004569824711206766
-813.8916015625,0.7693767841661249,-36.79412708577243,-31.36196170707904,-0.0014972203128099635,-0.005306282685022979,0.004570445681668847
-812.080078125,0.7666650718122205,-36.80387482817745,-31.353790164561723,-0.0014972266675458324,-0.005305628316521764,0.004570989030823167
-810.009765625,0.7635659719791869,-36.81501510521175,-31.344451258827643,-0.001497233930101111,-0.005304880466806089,0.004571610001285248
-807.939453125,0.7604668721461533,-36.82615538224606,-31.335112353093564,-0.0014972411926563903,-0.005304132617090414,0.004572230971747329
-806.1279296875,0.757755159792249,-36.835903124651075,-31.326940810576247,-0.001497247547392259,-0.005303478248589199,0.00457277432090165
-804.0576171875,0.7546557943811562,-36.84690576291557,-31.317493757243895,-0.0014972493764956335,-0.0053027190438893574,0.00457337255125885
-801.9873046875,0.7515561169981432,-36.85774671827809,-31.307919663997172,-0.0014972448229767796,-0.00530194650060189,0.004573944069039694
-799.9169921875,0.7484564396151302,-36.868587673640604,-31.29834557075045,-0.0014972402694579257,-0.005301173957314422,0.004574515586820538
-798.10546875,0.7457442219049938,-36.878073509582805,-31.289968239159563,-0.0014972362851289286,-0.005300497981937888,0.004575015664878776
-796.03515625,0.7426445445219808,-36.88891446494532,-31.28039414591284,-0.0014972317316100745,-0.005299725438650421,0.004575587182659619
-793.96484375,0.7395448671389678,-36.89975542030784,-31.270820052666117,-0.0014972271780912207,-0.005298952895362953,0.004576158700440463
-791.89453125,0.7364451897559549,-36.91059637567036,-31.26124595941939,-0.0014972226245723666,-0.005298180352075485,0.004576730218221307
-790.0830078125,0.7337329720458186,-36.92008221161256,-31.25286862782851,-0.0014972186402433692,-0.00529750437669895,0.004577230296279545
-788.0126953125,0.7306332946628056,-36.93092316697508,-31.243294534581786,-0.0014972140867245153,-0.005296731833411483,0.004577801814060389
-785.9423828125,0.7275336172797926,-36.941764122337595,-31.23372044133506,-0.0014972095332056615,-0.005295959290124015,0.004578373331841233
-783.8720703125,0.7244339398967796,-36.952605077700106,-31.224146348088336,-0.0014972049796868076,-0.005295186746836548,0.0045789448496220755
-782.060546875,0.7217217221866432,-36.962090913642314,-31.215769016497454,-0.0014972009953578102,-0.005294510771460014,0.004579444927680314
-779.990234375,0.7186220448036302,-36.97293186900483,-31.206194923250727,-0.0014971964418389562,-0.005293738228172545,0.004580016445461158
-777.919921875,0.7155223674206174,-36.98377282436734,-31.196620830004004,-0.0014971918883201023,-0.005292965684885078,0.0045805879632420015
-776.1083984375,0.712810149710481,-36.99325866030955,-31.188243498413122,-0.001497187903991105,-0.005292289709508543,0.00458108804130024
-774.0380859375,0.709710472327468,-37.00409961567206,-31.1786694051664,-0.001497183350472251,-0.005291517166221075,0.004581659559081084
