t,x,y,z,vx,vy,vz,phi
4.573457345734574,-0.1669390442331543,17.721804514418896,-65.11724090278003,-33.98247312446258,-182.8660189309969,-135.23910386651767,-139176.10694867827
4.574457445744574,-0.20169600375870447,17.534685074937425,-65.25526295458468,-33.98081336811448,-183.0248996857732,-134.64775262108327,-139665.5188855993
4.575457545754576,-0.23645112476819763,17.34740422083016,-65.3926803814175,-33.97884699403677,-183.18165156747008,-134.05682814876963,-140160.3029040153
4.5764576457645765,-0.2712040842481497,17.159964123822036,-65.52949362355209,-33.97657513352403,-183.33628398405565,-133.4663377935681,-140660.55814933823
4.577457745774577,-0.3059545462255798,16.97236694481639,-65.66570312872403,-33.973997953041156,-183.48880640560063,-132.87628880213077,-141166.38660242734
4.578457845784579,-0.3407021875490236,16.784614836225305,-65.80130935203105,-33.97111636543941,-183.63922822973132,-132.28668832446795,-141677.89317756944
4.579457945794579,-0.37544672629415243,16.596709944350813,-65.93631275583539,-33.9679338943734,-183.78755865097364,-131.69754341463008,-142195.18582340569
4.580458045804581,-0.4101878589943965,16.408654403842046,-66.07071380966566,-33.9644525350567,-183.9338069756001,-131.10886103156957,-142718.375655329
4.581458145814581,-0.44492528136147597,16.220450339550112,-66.20451299011934,-33.96067412315567,-184.07798251607232,-130.52064803984277,-143247.57706934772
4.582458245824583,-0.47965869568124847,16.032099867230606,-66.33771078076771,-33.95660076468316,-184.22009455029382,-129.93291121039226,-143782.9078644651
4.5834583458345834,-0.514387808788368,15.843605093366907,-66.47030767205922,-33.95223467181461,-184.36015233291963,-129.34565722131387,-144324.48937351958
4.584458445844585,-0.5491123148271178,15.654968113666577,-66.60230416122617,-33.947577059701274,-184.4981651817902,-128.7588926585596,-144872.44660529637
4.585458545854586,-0.5838318936346054,15.466191013056354,-66.73370075218914,-33.94262799143016,-184.63414247591174,-128.17262401672144,-145426.90838776034
4.586458645864587,-0.6185462575264256,15.27727586958333,-66.86449795546619,-33.937389776134545,-184.76809342206963,-127.58685769969863,-145988.00750051995
4.587458745874588,-0.6532551308390622,15.088224752600189,-66.99469628807881,-33.93186549378903,-184.9000271698209,-127.00160002147308,-146555.88083627072
4.588458845884588,-0.6879582128142294,14.89903971978862,-67.12429627346118,-33.926056341368884,-185.02995298683112,-126.41685720689503,-147130.6695762917
4.58945894589459,-0.7226551887747119,14.709722818203389,-67.25329844136921,-33.91996245945288,-185.1578801949859,-125.83263539240646,-147712.51935650798
4.59045904590459,-0.7573457886522816,14.520276089015315,-67.38170332779004,-33.91358687905929,-185.28381789314312,-125.24894062680829,-148301.58042134286
4.591459145914591,-0.7920297415804523,14.330701563730116,-67.50951147485308,-33.90693237583362,-185.4077751893689,-124.66577887199594,-148898.00782483575
4.5924592459245925,-0.8267067506181622,14.141001262304188,-67.63672343074208,-33.89999969988674,-185.52976131228772,-124.08315600369995,-149501.9616338274
4.593459345934593,-0.8613765009894887,13.95117719397048,-67.76333974960635,-33.892788114701204,-185.6497855592785,-123.5010778122371,-150113.60712662918
4.594459445944594,-0.8960387244525531,13.761231362010076,-67.88936099147436,-33.885300380531845,-185.76785697888175,-122.9195500031801,-150733.1149754355
4.595459545954595,-0.9306931519763199,13.571165760051011,-68.01478772216741,-33.87753912311434,-185.88398462258957,-122.33857819812782,-151360.66148389937
4.596459645964596,-0.9653395026952537,13.380982371283762,-68.13962051321373,-33.86950601129218,-185.9981775954042,-121.75816793544172,-151996.42882016627
4.597459745974597,-0.9999775090291825,13.190683170603755,-68.26385994176411,-33.861203411041494,-186.11044492371417,-121.1783246710263,-152640.605241707
4.598459845984598,-1.034606898314672,13.000270123124153,-68.38750659050774,-33.85263305796976,-186.22079565335375,-120.59905377904325,-153293.38535095032
4.5994599459945995,-1.0692273747695529,12.809745182919258,-68.51056104758942,-33.84379471919133,-186.32923892934284,-120.0203605526311,-153954.97036186728
4.6004600460046,-1.1038386725905354,12.619110296906195,-68.63302390652612,-33.834690519096704,-186.4357837237718,-119.44225020460593,-154625.56833976592
4.601460146014602,-1.1384405363219587,12.428367403272338,-68.75489576612641,-33.82532336757926,-186.54043895574296,-118.86472786818663,-155305.39448690775
4.602460246024602,-1.1730326763854968,12.237518428461602,-68.87617723040853,-33.81569340380266,-186.6432137020947,-118.28779859774362,-155994.67145377502
4.603460346034604,-1.2076148267137419,12.046565291472485,-68.99686890852041,-33.80580239820477,-186.7441168952161,-117.71146736952679,-156693.62960374283
4.604460446044604,-1.2421867449574946,11.855509903706677,-69.11697141466004,-33.795653672060524,-186.84315734798963,-117.13573908239364,-157402.50731747277
4.605460546054606,-1.2767481466539334,11.664354164375254,-69.23648536799723,-33.78524705640178,-186.9403440848262,-116.56061855851053,-158121.55134882833
4.6064606460646065,-1.3112987511600402,11.473099963904819,-69.35541139259458,-33.77458260266416,-187.035686074245,-115.98611054405944,-158851.01712279898
4.607460746074608,-1.345838321100959,11.281749186365229,-69.47375011733082,-33.76366389937843,-187.1291920376913,-115.41221970991273,-159591.16904134417
4.608460846084609,-1.3803665936093623,11.090303704698199,-69.59150217582379,-33.75249241098258,-187.2208708417524,-114.83895065236771,-160342.2808677222
4.609460946094609,-1.4148833223971051,10.898765384099349,-69.70866820635446,-33.74107059120633,-187.3107312244244,-114.26630789388383,-161104.6360415417
4.610461046104611,-1.4493882467187507,10.707136079609878,-69.8252488517924,-33.729399467597275,-187.39878200606896,-113.69429588376956,-161878.52805135597
4.611461146114611,-1.4838810937032065,10.51541763640799,-69.94124475952032,-33.717478965631344,-187.48503205461844,-113.12291899887224,-162664.26078573393
4.612461246124612,-1.5183616349715192,10.323611893633121,-70.05665658136124,-33.70531271413183,-187.56948993528965,-112.55218154424264,-163462.1488374653
4.6134613461346134,-1.552829598390939,10.131720678086044,-70.17148497350514,-33.69290074680196,-187.65216451801834,-111.98208775385542,-164272.51792208344
4.614461446144614,-1.5872847436867434,9.939745810245007,-70.28573059643627,-33.680245349513434,-187.7330643896934,-111.41264179131589,-165095.70514937802
4.615461546154616,-1.6217268315752773,9.747689101567497,-70.39939411486186,-33.66734864349789,-187.81219815031915,-110.84384775054593,-165932.0593741208
4.616461646164616,-1.6561555895264508,9.555552352015997,-70.51247619764118,-33.65421002080713,-187.88957466884128,-110.27570965645714,-166781.94153555215
4.617461746174618,-1.690570805500012,9.363337357561528,-70.62497751771528,-33.64083352610077,-187.9652021975326,-109.70823146559461,-167645.72483728998
4.618461846184618,-1.724972212382461,9.17104590021649,-70.73689875203702,-33.627218999850996,-188.03908959224617,-109.14141706683924,-168523.79511168454
4.61946194619462,-1.7593595678318004,8.978679755853191,-70.84824058150299,-33.61336785342091,-188.11124534007087,-108.57527028208536,-169416.5509221826
4.62046204620462,-1.7937326561925322,8.786240693711111,-70.95900369088457,-33.599283303444246,-188.18167764906602,-108.00979486691924,-170324.4036893397
4.621462146214622,-1.8280911954177355,8.593730467367422,-71.06918876876094,-33.58496394783484,-188.2503956827909,-107.44499451126974,-171247.77786864294
4.6224622462246225,-1.862434989959698,8.40115083174831,-71.17879650745185,-33.57041373196042,-188.31740706869135,-106.8808728400645,-172187.1106916146
4.623462346234623,-1.8967637869529417,8.20850352513463,-71.28782760295209,-33.555633306847284,-188.38272066268755,-106.31743341389381,-173142.8522173075
4.624462446244625,-1.9310773297970747,8.01579027760725,-71.39628275486567,-33.54062267368267,-188.44634521772187,-105.7546797296655,-174115.46493717874
4.625462546254625,-1.9653754337904898,7.823012820757399,-71.50416266634045,-33.52538544148199,-188.50828775787252,-105.19261522125575,-175105.42314376793
4.626462646264626,-1.9996578111036558,7.630172858992047,-71.61146804400519,-33.5099213230236,-188.56855859352663,-104.63124326015132,-176113.2125586314
4.627462746274627,-2.0339242686495376,7.437272109729696,-71.71819959790494,-33.49423158824394,-188.62716402264996,-104.07056715609762,-177139.32891052787
4.628462846284628,-2.0681745778585694,7.244312270088491,-71.82435804143886,-33.478318324344656,-188.68411258439033,-103.51059015773556,-178184.27694673077
4.6294629462946295,-2.1024084651432666,7.05129501802215,-71.92994409129813,-33.46218280635118,-188.73941494642602,-102.9513154532344,-179248.56875211946
4.63046304630463,-2.136625761176512,6.85822206057838,-72.03495846740374,-33.44582273273053,-188.7930741338933,-102.39274617092518,-180332.72107556282
4.631463146314632,-2.170826197101138,6.665095042224569,-72.13940189284659,-33.42924644867898,-188.84510449218786,-101.8348853799325,-181437.25339636733
4.632463246324632,-2.205009545066133,6.471915623586941,-72.24327509382786,-33.412455332527344,-188.89551445835676,-101.27773609093207,-182562.68383456478
4.633463346334634,-2.23917560783246,6.278685471114153,-72.34657879959538,-33.39544808338973,-188.94430958265895,-100.72130125627994,-183709.52494689866
4.634463446344634,-2.2733241650402913,6.085406232735286,-72.4493137423888,-33.37822599393782,-188.9914979232724,-100.16558377117019,-184878.27873539962
4.635463546354636,-2.3074549981738675,5.892079547986745,-72.55148065738017,-33.36079034183312,-189.0370874935225,-99.61058647404705,-186069.4301667277
4.6364636463646365,-2.3415678892823544,5.698707047932372,-72.65308028261562,-33.34314249615748,-189.08108636137345,-99.05631214722135,-187283.4394294229
4.637463746374638,-2.375662621832408,5.505290355251792,-72.75411335895903,-33.32528387833115,-189.1235025999185,-98.50276351746639,-188520.73258061562
4.638463846384639,-2.4097389800766553,5.31183108574019,-72.85458063003482,-33.30721538019154,-189.16434395417065,-97.94994325661906,-189781.69030581584
4.63946394639464,-2.443796750455464,5.1183308446916085,-72.9544828421724,-33.28893894280706,-189.2036187594135,-97.39785398217397,-191066.63452115768
4.640464046404641,-2.4778357223696093,4.924791228857168,-73.0538207443508,-33.270456253284074,-189.2413351529207,-96.84649825787055,-192375.8124106106
4.641464146414641,-2.511855683141003,4.731213831114025,-73.15259508814431,-33.25176769351997,-189.2775004526294,-96.29587859428482,-193709.37756339126
4.642464246424643,-2.5458564235806205,4.537600233650075,-73.25080662766798,-33.23287478157995,-189.3121226431449,-95.74599744940699,-195067.36788885563
4.6434643464346435,-2.5798377357904045,4.3439520101973335,-73.3484561195241,-33.21377897272317,-189.34520965491487,-95.1968572292235,-196449.67982729978
4.644464446444644,-2.613799412398888,4.150270726969509,-73.44554432274983,-33.194481589591604,-189.3767693228885,-94.6484602882865,-197856.0385486547
4.645464546454646,-2.647741247763774,3.9565579422344603,-73.54207199876427,-33.174983955981446,-189.40680946299034,-94.10080893028592,-199285.96384067135
4.646464646464646,-2.6816630395218235,3.7628152054391877,-73.63803991131698,-33.1552877068929,-189.4353379811764,-93.55390540861585,-200738.73149478866
4.647464746474648,-2.715564593261286,3.5690440544481605,-73.73344882643714,-33.13539544832842,-189.46236317800765,-93.0077519269305,-202213.33016195876
4.648464846484648,-2.749445699139994,3.375246026621634,-73.82829951238224,-33.11530705734636,-189.48789227137334,-92.46235063970275,-203708.41387915178
4.64946494649465,-2.7833061549605924,3.1814226491150053,-73.92259273958892,-33.09502375016081,-189.51193296659233,-91.91770365277866,-205222.2506851881
4.65046504650465,-2.81714576734519,2.987575439640666,-74.01632928062277,-33.0745469983119,-189.53449281402834,-91.37381302393895,-206752.66803744534
4.651465146514652,-2.85096433822476,2.7937059077969715,-74.10950991012984,-33.05387808497809,-189.5555794291831,-90.83068076341398,-208296.99592941522
4.6524652465246525,-2.8847616688820716,2.5998155617939505,-74.20213540478812,-33.03301610358396,-189.57519822866973,-90.28830883444749,-209852.00809253
4.653465346534654,-2.9185375662149107,2.4059058956624524,-74.29420654326006,-33.011964514454014,-189.59335901883065,-89.7466991538268,-211413.86118093567
4.654465446544655,-2.95229183827087,2.211978395970839,-74.38572410614478,-32.99072364369074,-189.61006793684447,-89.20585359241171,-212978.0288798751
4.655465546554655,-2.98602428594927,2.0180345459404085,-74.47668887593191,-32.96929484408799,-189.6253329692226,-88.66577397566088,-214539.22331735824
4.656465646564657,-3.0197347246699646,1.8240758177499998,-74.56710163695523,-32.9476791021158,-189.63916068014,-88.1264620841562,-216091.28623896142
4.657465746574657,-3.0534229565176227,1.6301036808514582,-74.65696317534682,-32.925877379411105,-189.65155844521095,-87.58791965412811,-217627.01517491453
4.658465846584658,-3.087088796701992,1.4361195940168485,-74.74627427899206,-32.903890984106695,-189.6625334164771,-87.05014837795534,-219137.85619560137
4.6594659465946595,-3.12073205358027,1.2421250109605877,-74.83503573748551,-32.881721240659296,-189.67209340858506,-86.51314990469528,-220613.33244523942
4.66046604660466,-3.1543525401980785,1.0481213634497237,-74.92324834208601,-32.859371728686824,-189.68025114433027,-85.97692584056522,-222039.94381007034
4.661466146614662,-3.1879500717367866,0.8541100937009306,-75.01091288567397,-32.8368410313195,-189.6870078798013,-85.4414777494631,-223398.95456934808
4.662466246624662,-3.2215244689111224,0.6600926225484657,-75.09803016270769,-32.814131497828605,-189.69237324387223,-84.90680715345891,-224661.5848923818
4.663466346634663,-3.2550755441238794,0.46607037263933565,-75.18460096918098,-32.791243949894145,-189.69635446248455,-84.37291553329398,-225777.11101366137
4.664466446644664,-3.28860311971621,0.2720447535437015,-75.27062610258163,-32.76817961492951,-189.6989585050988,-83.83980432886344,-226638.9478938315
4.665466546654665,-3.3221070144282447,0.07801717028682664,-75.35610636184916,-32.744939529251766,-189.70019160444141,-83.30747493970743,-226999.28245000646
4.6664666466646665,-3.3555870495813327,-0.11601097749270757,-75.44104254733435,-32.721524798250954,-189.7000601562242,-82.77592872549411,-226503.6824996858
4.667466746674667,-3.389043047433225,-0.3100382981750781,-75.5254354607582,-32.697936636579456,-189.69857128265187,-82.2451670064903,-225239.99170625405
4.668466846684669,-3.4224748315376963,-0.5040634049046202,-75.60928590517254,-32.67417615269615,-189.6957315425067,-81.71519106404051,-223601.99370297196
4.669466946694669,-3.455882226492336,-0.6980849176209483,-75.6925946849198,-32.65024434693924,-189.6915483390511,-81.18600214103326,-221808.26384166154
4.670467046704671,-3.489265057421118,-0.8921014668873669,-75.77536260559417,-32.62614245216237,-189.6860287540604,-80.65760144236538,-219949.70717676554
