333|2007ApJ...671.1591I|Ibata et al.
334|                   |Herschel                               1789, Phil. Trans. R. Soc. I, 79, 212
335|2011ApJ...742L..15B|Bell et al.
336|1999A&A...341..355K|Karachentsev & Karachentseva
337|1888AN....120...33S|Swift
338|1976SoSAO..18...42K|Karachentseva
339|1978IAUC.3305....2K|Kowal et al.
340|1999AJ....118.1220A|Armandroff et al.
341|2011ApJ...742L..14S|Slater et al.
342|                   |Wolf                                   1906, MNRAS, 67, 91
343|1976A&A....49..129S|Schuster & West                        Originally thought to be a globular cluster. Canterna & Flower (1977ApJ...212L..57C) subsequently identified its galactic nature.
344|1884AN....110..125B|Barnard
345|1999AJ....118.2767W|Whiting et al.
346|1950MeLu2.128....1H|Holmberg
347|2007ApJ...656L..13I|Irwin et al.
348|2010MNRAS.406.1220W|Wolf
349|1926MNRAS..86..636M|Melotte                                Including K. E. Lundmark
350|1942PhRv...61..489Z|Zwicky
351|1959PDDO....2..147V|van den Bergh
352|1990IAUC.5139....2L|Lavery                                 This author first suggested that this object is a member of the Local Group, but it had previously been cataloged by Corwin et al. (1985sgcc.book.....C).
353|1977A&A....61L..31C|Cesarsky et al.
354|1978MNRAS.183P..97L|Longmore et al.
355|2008MNRAS.387L..45K|Kopylov et al.                         These authors calculate a new distance to UGC 4879and show that it is on the periphery of the Local Group. While included in Vorontsov-Velyaminov (1959VV....C......0V), earlier references to this object have not been found.
356|1847QB3.H52........|Herschel
357|1997AJ....114..996W|Whiting et al.                         These authors rediscovered this galaxy and showed that it was in the periphery of the Local Group, but it had earlier been cataloged by Corwin et al. (1985sgcc.book.....C), Feitzinger & Galinski (1985A&AS...61..503F), and Arp & Madore (1987cspg.book.....A).
358|2000AJ....119.2686H|Henning et al.                         HIZSS 3 resolved into two sources by Begum et al. (2005MNRAS.359L..53B). Position corresponds to the "HIZSS3 system".
359|2001A&A...379..407K|Karachentsev et al.
360|1982euse.book.....L|Lauberts                               Cat. VII/34C
361|1982MNRAS.200..325L|Longmore et al.
362|1828RSPT..118..113D|Dunlop
363|1899ApJ.....9..173P|Pickering                              D. Stewart. Reported in Pickering (1899ApJ.....9..173P)
364|2001A&A...366..428K|Karachentsev et al.                    Cat. J/A+A/366/428
365|1998A&AS..127..409K|Karachentseva & Karachentsev           Cat. J/A+AS/127/409. See also Karachentseva et al. (1999A&AS..135..221K)
366|1956AJ.....61...69R|Reaves                                 Discovered on inspection of photographic plates from a survey discussed in Shane (1947PASP...59..182S). C. D. Shane speculated that some of the nebulae that were visible could be Local Group dwarf galaxies.
367|1962TrSht..32..207V|Vorontsov-Vel'Yaminov & Krasnogorskaya
368|1908AnHar..60..147P|Pickering                              D. Stewart. Reported in Pickering (1908AnHar..60..147P)
369|1974UppOR...5....0N|Nilson
370|1902MNRAS..62..468L|Lunt                                   R. Innes. Reported in Lunt (1902MNRAS..62..468L)
400|2004MNRAS.354.1263B|Bellazzini et al.
401|2007ApJ...670..346C|Chou et al.                            Cat. J/ApJ/670/346
402|2010ApJ...723.1632N|Norris et al.                          Cat. J/ApJ/723/1632
403|2008ApJ...685L..43K|Kirby et al.
404|2011ApJ...727...78K|Kirby et al.
405|2009ApJ...690..453K|Koch et al.
406|2011AJ....142..128W|Willman et al.
407|2009ApJ...702L...9C|Carlin et al.
